1;101469609RR0001;FONDATION DE L'INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DOUGLAS / DOUGLAS MENTAL HEALTH UNIVERSITY INSTITUTE FOUNDATION
2;101835007RR0001;FONDATION UNIVERSITAIRE ARMAND-FRAPPIER DE L'INRS
3;101835031RR0001;LA FONDATION DES RÉSIDENTS DES CENTRES D'HÉBERGEMENT ET DE SOINS DE LONGUE DURÉE DE MON QUARTIER
4;101835148RR0001;FONDATION CENTRE DE SANTÉ SAINTE-FAMILLE INC.
5;101835155RR0001;FONDATION INSTITUT DE GÉRIATRIE DE MONTRÉAL
6;101835163RR0001;FONDATION POUR LA SANTÉ DU NORD DE LANAUDIÈRE
7;101835171RR0001;LA FONDATION DU CENTRE HOSPITALIER ST-JOSEPH DE LA MALBAIE INC.
8;101835395RR0001;FONDATION DE LA PSYCHIATRIE DE LA REGION DE VALLEYFIELD
9;101835445RR0001;FONDATION DE L'HÔPITAL ST-EUSTACHE
10;101835460RR0001;FONDATION DU CENTRE HOSPITALIER DE GASPÉ
11;101835502RR0001;FONDATION DE POLYTECHNIQUE
12;101835536RR0001;LA FONDATION DES AMIS DE L'INSTITUT CATHOLIQUE DE MONTRÉAL
13;101835544RR0001;FONDATION DU MUSÉE D'ART CONTEMPORAIN DE MONTRÉAL
14;101835643RR0001;FONDATION DES PARAPLEGIQUES DU QUEBEC/QUEBEC PARAPLEGIC FOUNDATION
15;101835718RR0001;Fondation du Centre de Santé et de Services Sociaux du Granit
16;101835767RR0001;FONDATION DES C.H.S.L.D. DE LA RIVIÈRE DU NORD
17;101836054RR0001;FONDATION HOSPITALIÈRE D'AMOS INC.
18;101836179RR0001;Fonds d'entraide pour les dépendances
19;101836526RR0001;FONDATION PHILIPPE CHABOT INC.
20;101836583RR0001;FONDATION POUR LES DEFICIENTS MENTAUX (QUÉBEC) INC. FOUNDATION FOR THE MENTALLY RETARDED (QUÉBEC) INC.
21;101836633RR0001;Le Support - Fondation de la déficience intellectuelle
22;101836773RR0001;LA FONDATION RESSOURCES-JEUNESSE
23;101836823RR0001;Fondation du Centre de réadaptation en dépendance de Montréal (Fondation CRDM) / Foundation for Montreal's addiction rehabilitation Center
24;101836880RR0001;Fondation nationale des scouts
25;101837318RR0001;FONDATION UNIVERSITE DU QUEBEC
26;101837342RR0001;FONDATION DU CONSERVATOIRE DE MUSIQUE ET D'ART DRAMATIQUE DUQUÉBEC
27;101837367RR0001;FONDATION YVON LAMARRE
28;101837847RR0001;FONDS DE DOTATION DE L'HÔPITAL D'ARGENTEUIL INC.
29;101857217RR0001;FONDATION B.R. INC./B.R. FOUNDATION INC.
30;102540473RR0001;ISRAEL CANCER RESEARCH FUND-FONDATION D'ISRAEL POUR LA RECHERCHE SUR LE CANCER
31;102728177RR0001;J.R.H. FOUNDATION - FONDATION J.R.H.
32;102918547RR0001;LA CHAPELLE DE LA SAINTE-CROIX
33;102919206RR0001;FONDATION ED MCFAUL ED MCFAUL FOUNDATION
34;102933827RR0001;FONDATION CITÉ DE LA SANTÉ
35;102933868RR0001;LA FONDATION DES POLICIERS MUNICIPAUX DE QUÉBEC
36;102933900RR0001;LA FONDATION DE L'ECOLE BETH JACOB
37;102933918RR0001;LA FONDATION DE L'ECOLE DE FORMATION HEBRAIQUE
38;102933959RR0001;LA FONDATION DES AMIS DE NOTRE-DAME DE SION
39;102934130RR0001;LA FONDATION BOULANGER - BEDARD INC.
40;102934205RR0001;LA FONDATION MAXIMOS V INC. 1986
41;102934213RR0001;LA FONDATION MGR JEAN-MARIE FORTIER INC.
42;103033015RR0001;LE FONDS D'EXCELLENCE MASSEY-VANIER (DAVIGNON) INC.
43;103372504RR0001;L'OEUVRE DES SAINTS-APOTRES
44;103402186RR0001;LOYOLA HIGH SCHOOL FOUNDATION/LA FONDATION ECOLE SECONDAIRE LOYOLA
45;103436564RR0001;MACKAY PROJECTS INC.-LES PROJETS MACKAY INC.
46;103464459RR0001;FONDATION MAGOR INC. / MAGOR FOUNDATION INC.
47;104872304RR0001;THE SIR MORTIMER B. DAVIS JEWISH GENERAL HOSPITAL FOUNDATION / FONDATION DE L'HOPITAL GENERAL JUIF SIR MORTIMER DAVIS
48;105202501RR0001;The Cedars Cancer Institute at the McGill University Health Centre / L'Institut des çèdres contre le cancer au centre universitaire de santé McGill
49;105225718RR0001;THE LUCAS FOUNDATION - LA FONDATION LUCAS
50;105252845RR0001;The Study School Foundation
51;106702251RR0001;FEDERATION CJA
52;106885254RR0001;CENTRAIDE LANAUDIERE
53;106885270RR0001;CENTRAIDE LAURENTIDES
54;106885288RR0001;CENTRAIDE KRTB-CÔTE-DU-SUD
55;106885312RR0001;CENTRAIDE SAGUENAY LAC ST-JEAN INC.
56;106885338RR0001;CENTRAIDE SUD-OUEST DU QUEBEC
57;106955933RR0001;ASSOCIATION DES BENEVOLES DU MUSEE DES BEAUX-ARTS DE MONTREAL/VOLUNTEER ASSOCIATION OF THE MONTREAL MUSEUM OF FINE ARTS
58;107391427RR0001;FONDATION ASSELIN DU CÉGEP DE JONQUIÈRE INC.
59;107391518RR0001;FONDATION DE BÉCANCOUR-NICOLET-YAMASKA SANTÉ-SERVICES SOCIAUX
60;107391542RR0001;LA FONDATION COMMUNAUTAIRE CANADIENNE-ITALIENNE DU QUEBEC INC./CANADIAN-ITALIAN COMMUNITY FOUNDATION OF QUEBEC INC.
61;107391666RR0001;FONDATION DU CÉGEP DE THETFORD
62;107391674RR0001;FONDATION DU FOYER DORVAL
63;107391757RR0001;FONDATION DE L'HÔPITAL MAISONNEUVE-ROSEMONT
64;107391807RR0001;FONDATION JEUNESSES MUSICALES DU CANADA YOUTH AND MUSIC CANADA FOUNDATION
65;107391864RR0001;FONDATION DU CENTRE DE CONSERVATION DE LA BIODIVERSITÉ BORÉALE (CCBB)
66;107392037RR0001;FONDATION SANTA CABRINI
67;107414476RR0001;CENTRE DE LA PETITE ENFANCE DULUTH INC.
68;107588352RR0001;LA FONDATION BERTHIAUME DU TREMBLAY
69;107588386RR0001;FONDATION COLLÈGE DE LÉVIS
70;107588477RR0001;Fondation santé Gatineau
